git_hash=55c2d9c;execution date=20240625_134721;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0x1ab4953a1_2;0;0;0;-1;2.134e-06;2.354e-06
0x5da5af783_0;0;0;0;-1;2.31e-07;0.00191291
0xbec0e5538_0;0;0;0;-1;4.01e-07;0.00376317
0x26c25c690_2;0;0;0;-1;3.557e-06;0.00554514
0xb94e6854b_2;0;0;0;-1;6.42e-07;0.00747793
0x26f907cf2_0;0;0;0;-1;7.21e-07;0.00944899
0xe9017d7cb_2;0;0;0;-1;8.01e-07;0.0115429
0x5ff89208d_2;0;0;0;-1;6.91e-07;0.0136645
0x111e8f9414_1;0;0;0;-1;1.93186;1.94733
0xe9e958af8_0;0;0;0;-1;4.21e-07;1.95091
0xb619035d2_0;0;0;0;-1;4.21e-07;1.95277
0xc3d733988_0;0;0;0;-1;1.9e-07;1.95451
0x66ba28118_2;1;0;216;-1;31.2199;33.1762
0x4a3168a75_1;0;0;0;-1;8.01e-07;33.1786
0x8dff40213_0;0;0;0;-1;4.3e-07;33.1804
0x3c685be8c_2;0;0;0;-1;2.91e-07;33.1821
0x224753e53_1;0;0;0;-1;2.6e-07;33.1839
0x37ddf5553_0;0;0;0;-1;1.9e-07;33.1856
0x10c185b9ac_2;0;0;0;-1;0.0943318;33.2816
0xf783ec7fd_0;0;0;0;-1;1.222e-06;33.2839
0xb03f438aa_1;0;0;0;-1;2.31e-07;33.2857
0x360676c7f_1;0;0;0;-1;2.91e-07;33.2874
0xb987a2bee_2;0;0;0;-1;3.4e-07;33.2892
0xdcda9cc3f_0;0;0;0;-1;2.9e-07;33.2909
0x10658d173e_1;0;0;0;-1;3.41e-07;33.2927
0x10a983af74_0;0;0;0;-1;3.41e-07;33.2944
0x25d907f82_1;1;1;406140;26;778.315;811.611
0xac1f048c6_0;0;0;0;-1;7.91e-07;811.614
0xe873a294c_1;0;0;0;-1;3.41e-07;811.615
0x5673f6c7c_1;0;0;0;-1;2.9e-07;811.617
0x3411d0a74_2;0;0;0;-1;2.71e-07;811.619
0x9ef4d39a9_1;0;0;0;-1;3.41e-07;811.621
0x3748bb49e_2;0;0;0;-1;5.81e-07;811.623
0x1b459cb_0;1;1;328;5;0.418077;812.043
0x3fa86de40_0;0;0;0;-1;4.6e-07;812.045
0x370d371b3_0;0;0;0;-1;4.5e-07;812.046
0xd446d5798_1;1;0;328;-1;8.92e-07;812.048
0xef5b8c9a1_1;1;0;328;-1;7.51e-07;812.05
0xc5bba8a3d_0;0;0;0;-1;2.3e-07;812.052
0x558dae477_0;0;0;0;-1;3.31e-07;812.053
0xf60bad7fd_2;0;0;0;-1;3.41e-07;812.055
0x9c0f5241f_1;0;0;0;-1;3.31e-07;812.057
0x64b5589a9_2;0;0;0;-1;2.31e-07;812.059
0xf1ff368e5_1;0;0;0;-1;9.02e-07;812.061
0xa9eb92fc6_2;0;0;0;-1;2.2e-07;812.063
0x3764a303b_1;0;0;0;-1;2.81e-07;812.064
0x740e6e0c6_1;0;0;0;-1;2.8e-07;812.066
0x9c66bb733_0;0;0;0;-1;3.5e-07;812.068
0xed48d6eb3_0;0;0;0;-1;3.31e-07;812.07
0x6ff874e25_2;0;0;0;-1;2e-07;812.072
0x7f7d18169_1;0;0;0;-1;9.81e-07;812.073
0xd44e86d3c_2;0;0;0;-1;7.71e-07;812.075
0xc42a24b26_0;0;0;0;-1;4.21e-07;812.077
0xff5f45781_2;0;0;0;-1;8.41e-07;812.079
0x31394beb5_1;0;0;0;-1;4.3e-07;812.081
0xf6db264b6_0;0;0;0;-1;3.21e-07;812.083
0x92dbe384d_1;0;0;0;-1;2.7e-07;812.085
0x7aff47aaf_2;0;0;0;-1;2.6e-07;812.086
0x97a489e6d_2;0;0;0;-1;3.31e-07;812.088
0x1575d00b1_2;0;0;0;-1;1.9e-07;812.09
0xd246f8d53_0;0;0;0;-1;8.02e-07;812.092
0x4aa48353e_1;0;0;0;-1;6.01e-07;812.094
0xa8f460ec0_1;0;0;0;-1;6.21e-07;812.096
0x91a374ff8_2;0;0;0;-1;8.42e-07;812.098
0x6065a9682_2;0;0;0;-1;7.11e-07;812.1
0xaadda02fe_1;0;0;0;-1;4.01e-07;812.102
0x2f670f5dc_0;0;0;0;-1;4.61e-07;812.104
0x7006c0a19_1;1;0;64;-1;1.08969;813.195
0xfee6ccd62_1;0;0;0;-1;9.82e-07;813.198
0xa95eb00f6_2;0;0;0;-1;2.2e-07;813.199
0x103d593fa2_1;0;0;0;-1;2e-07;813.201
0xbda089a30_1;1;1;14834;9;22.7725;835.975
0xcbbe9b16b_0;0;0;0;-1;7.52e-07;835.977
0x8186d8cf9_1;0;0;0;-1;2.61e-07;835.979
0x95008e978_2;0;0;0;-1;3.31e-07;835.981
0xf184b9969_0;0;0;0;-1;3.51e-07;835.983
0xb20ffbcb_0;0;0;0;-1;1.9e-07;835.985
0x61a38952c_2;0;0;0;-1;1.9e-07;835.986
0xd75274da3_1;0;0;0;-1;2.6e-07;835.988
0xc6f4705f8_0;0;0;0;-1;3.3e-07;835.99
0xf97080aab_0;0;0;0;-1;2.8e-07;835.992
0xd1af7a4cd_2;0;0;0;-1;4.7132;840.707
0x3c7e1b514_2;0;0;0;-1;7.42e-07;840.71
0x184101aca_2;0;0;0;-1;2.81e-07;840.711
0xdd85e9379_0;0;0;0;-1;1.81e-07;840.713
0x10765928a4_1;0;0;0;-1;2.9e-07;840.715
0x4f317e725_2;0;0;0;-1;1.81e-07;840.717
0xf19146230_1;0;0;0;-1;1.8e-07;840.718
0x7236ea3df_0;0;0;0;-1;2.4e-07;840.72
0x70dec5f0d_2;0;0;0;-1;3.31e-07;840.722
0x277225180_0;0;0;0;-1;3.1e-07;840.724
0x72d903001_1;0;0;0;-1;2.91e-07;840.725
0x8b6d2c538_0;0;0;0;-1;3.41e-07;840.727
0x115e90c12c_0;0;0;0;-1;4.1e-07;840.729
0x2db74cdc8_2;0;0;0;-1;4.11e-07;840.731
0xfa3e34227_0;0;0;0;-1;2.31e-07;840.733
0xab3c1b78b_1;0;0;0;-1;1.9e-07;840.735
0x515226d02_1;1;0;35496;-1;0.25224;840.989
0x463bf5e25_0;0;0;0;-1;6.61e-07;840.991
0x65c88a672_0;0;0;0;-1;4.71e-07;840.993
0x247d3f271_1;0;0;0;-1;3.51e-07;840.994
0x5994f453d_2;0;0;0;-1;3.1e-07;840.996
0x101daf9d60_2;0;0;0;-1;3.51e-07;840.998
0x123a5f3215_1;0;0;0;-1;2.01e-07;841
0x313abd2a5_1;0;0;0;-1;3.21e-07;841.001
0x21c0d630b_2;0;0;0;-1;2.5e-07;841.003
0x425ec16da_0;0;0;0;-1;3.01e-07;841.005
0x28a9c96dc_0;1;1;12480;20;10.0357;851.043
0x117fad8b15_0;0;0;0;-1;1.041e-06;851.045
0x306aecfde_1;0;0;0;-1;3.51e-07;851.046
0x10375fd3ca_2;0;0;0;-1;3.6e-07;851.048
0xa47e6234a_1;0;0;0;-1;2.3e-07;851.05
0xd29984359_0;0;0;0;-1;2.4e-07;851.052
0xb0973a0_2;0;0;0;-1;0.87957;851.933
0x6202354db_0;0;0;0;-1;3.01e-07;851.936
0x96e458a07_2;0;0;0;-1;4.2e-07;851.938
0x3272d0cd9_0;0;0;0;-1;3.11e-07;851.939
0xb861612e5_0;0;0;0;-1;2.2e-07;851.941
0x9ce3971ed_2;0;0;0;-1;7.11e-07;851.943
0xeedd1e3e4_0;0;0;0;-1;3.81e-07;851.945
0xf7df77a1d_1;0;0;0;-1;5.81e-07;851.947
0x65a45bec7_0;0;0;0;-1;3.71e-07;851.949
0x9ea45ed78_2;0;0;0;-1;2.61e-07;851.95
0x121100b279_2;0;0;0;-1;3.9e-07;851.952
0x749d97d7d_0;0;0;0;-1;3.81e-07;851.954
0x8b14604d1_1;0;0;0;-1;2.2e-07;851.956
0x206726a86_2;0;0;0;-1;1.91e-07;851.957
0x24bcffd4_1;1;1;9748;1;22.0798;874.039
0xcebd36f41_2;0;0;0;-1;8.62e-07;874.041
