git_hash=55c2d9c;execution date=20240624_092201;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0x43a3fb8be_1;0;0;0;-1;2.114e-06;2.274e-06
0x1fe8ae141_2;0;0;0;-1;3.37777;3.37967
0x821f0cfff_2;0;0;0;-1;6.71e-07;3.3819
0xfadd1204b_1;0;0;0;-1;4.71e-07;3.38385
0xb735d956f_1;0;0;0;-1;2.5e-07;3.38588
0x10cab275a7_2;0;0;0;-1;4.71e-07;3.38772
0xab8f97128_0;0;0;0;-1;4.21e-07;3.38969
0x1fbf98bf0_1;0;0;0;-1;0.222888;3.61443
0x11d473ca56_0;0;0;0;-1;6.71e-07;3.61669
0x10ce9c9d9_1;0;0;0;-1;7.61e-07;3.61864
0xc3e1c951_2;0;0;0;-1;2.6e-07;3.6213
0x65d69785c_1;0;0;0;-1;2.4e-07;3.62315
0x8bea74e9c_2;0;0;0;-1;7.31e-07;3.62501
0x358b11f6b_1;0;0;0;-1;3.81e-07;3.62674
0x4a2b62266_0;0;0;0;-1;2.7e-07;3.62853
0xc0b753d93_1;0;0;0;-1;3.31e-07;3.63036
0xacfca893_2;0;0;0;-1;4.1e-07;3.63214
0xe0e13041a_1;0;0;0;-1;5.62e-07;3.63408
0xa681b9e4_1;0;0;0;-1;4.21e-07;3.63595
0x9ccaef267_2;0;0;0;-1;2.1e-07;3.63777
0x7480d9f5e_0;0;0;0;-1;2.01e-07;3.63948
0xb16964963_1;0;0;0;-1;5.91e-07;3.64126
0x98386293a_1;0;0;0;-1;3.41e-07;3.64304
0xb28db6075_1;0;0;0;-1;3.71e-07;3.6449
0x1b4c052c_0;0;0;0;-1;2.51e-07;3.64666
0x2506ad9e0_2;0;0;0;-1;4.9e-07;3.64851
0x8b6c3fc43_0;0;0;0;-1;6.71e-07;3.65039
0x10a63029e4_2;0;0;0;-1;2.8e-07;3.65238
0x107f4a50e7_1;0;0;0;-1;4.51e-07;3.65419
0x1d6cd7849_1;0;0;0;-1;3.8e-07;3.65616
0x11fcfc6d52_2;0;0;0;-1;1.051e-06;3.65811
0x2e26cd595_0;0;0;0;-1;5.41e-07;3.65998
0x2cfc019f_0;0;0;0;-1;3.81e-07;3.66171
0x996e7207c_2;0;0;0;-1;3.01e-07;3.66345
0x9db6b4f7e_2;0;0;0;-1;5.11e-07;3.6652
0x9791c661_2;0;0;0;-1;6.62e-07;3.66711
0x78f7dd1a0_1;0;0;0;-1;4.51e-07;3.66892
0x8280ecf17_1;0;0;0;-1;5.61e-07;3.67069
0x106fc176a_1;1;0;956;-1;0.579306;4.25179
0xa92b770e7_1;0;0;0;-1;4.41e-07;4.25429
0xbb493b698_1;0;0;0;-1;4.41e-07;4.25627
0x2758b3bb7_0;0;0;0;-1;0.614805;4.87287
0x10c7bff6fc_2;0;0;0;-1;3.71e-07;4.87501
